,Words,Unista,JYGA,MG_Tech,Sidel,Total
275,circulaire,2.0,0.0,2.0,7.0,11.0
276,formage,2.0,1.0,2.0,0.0,5.0
277,carton,3.0,104.0,22.0,22.0,151.0
278,breveter,2.0,0.0,0.0,7.0,9.0
279,espace,4.0,3.0,5.0,13.0,25.0
280,augmenter,8.0,12.0,3.0,20.0,43.0
281,conditionnemer,2.0,15.0,1.0,27.0,45.0
282,option,12.0,7.0,6.0,17.0,42.0
283,encore,5.0,9.0,13.0,22.0,49.0
284,marquage,5.0,22.0,0.0,0.0,27.0
285,étiquetage,2.0,4.0,0.0,49.0,55.0
286,main,3.0,15.0,1.0,9.0,28.0
287,réunir,6.0,0.0,0.0,1.0,7.0
288,soufflage,7.0,3.0,0.0,79.0,89.0
289,remplissage,4.0,5.0,2.0,149.0,160.0
290,tel,9.0,134.0,3.0,7.0,153.0
291,équiper,5.0,33.0,7.0,19.0,64.0
292,dégotiseur,10.0,0.0,0.0,0.0,10.0
293,transfert,5.0,7.0,0.0,12.0,24.0
294,intelligent,5.0,0.0,4.0,19.0,28.0
295,multiformat,5.0,5.0,0.0,0.0,10.0
296,post,6.0,50.0,3.0,10.0,69.0
297,contrôle,6.0,31.0,5.0,52.0,94.0
298,versionredresseur,2.0,0.0,0.0,0.0,2.0
299,robot,11.0,142.0,36.0,1.0,190.0
300,enregistrement,1.0,0.0,0.0,0.0,1.0
301,convier,1.0,1.0,0.0,5.0,7.0
302,aussi,4.0,6.0,7.0,71.0,88.0
303,bouteill,1.0,22.0,0.0,195.0,218.0
304,fiole,1.0,0.0,0.0,0.0,1.0
305,bien,4.0,4.0,5.0,26.0,39.0
306,ajuster,1.0,1.0,0.0,0.0,2.0
307,afin,4.0,28.0,7.0,58.0,97.0
308,fluidité,1.0,0.0,0.0,5.0,6.0
309,vitesse,5.0,6.0,0.0,10.0,21.0
310,dévracage,2.0,0.0,0.0,0.0,2.0
311,deux,2.0,53.0,3.0,42.0,100.0
312,comme,5.0,13.0,13.0,58.0,89.0
313,classique,2.0,0.0,0.0,26.0,28.0
314,dépôt,2.0,2.0,0.0,0.0,4.0
315,tapi,2.0,0.0,0.0,0.0,2.0
316,convoyeur,5.0,83.0,6.0,16.0,110.0
317,traitement,13.0,8.0,1.0,24.0,46.0
318,asymétrique,1.0,0.0,0.0,0.0,1.0
319,vrac,1.0,0.0,1.0,5.0,7.0
320,problème,2.0,1.0,3.0,7.0,13.0
321,étendre,1.0,0.0,2.0,7.0,10.0
322,après,6.0,9.0,9.0,26.0,50.0
323,équipé,1.0,12.0,0.0,4.0,17.0
324,boucheus,5.0,0.0,0.0,2.0,7.0
325,nécessite,4.0,0.0,2.0,6.0,12.0
326,alimentation,5.0,7.0,1.0,25.0,38.0
327,blister,6.0,0.0,1.0,0.0,7.0
328,donc,4.0,20.0,9.0,50.0,83.0
329,forme,7.0,16.0,4.0,55.0,82.0
330,taille,6.0,2.0,10.0,18.0,36.0
331,parfait,4.0,0.0,0.0,12.0,16.0
332,travailler,5.0,1.0,4.0,20.0,30.0
333,combiner,2.0,0.0,7.0,9.0,18.0
334,systèm,3.0,16.0,0.0,15.0,34.0
335,début,3.0,3.0,1.0,5.0,12.0
336,versiondistribution,1.0,0.0,0.0,0.0,1.0
337,thermoformé,3.0,0.0,0.0,0.0,3.0
338,entreprendre,3.0,3.0,7.0,24.0,37.0
339,thermoformer,5.0,2.0,2.0,0.0,9.0
340,distributeur,1.0,0.0,0.0,11.0,12.0
341,transporter,1.0,2.0,0.0,3.0,6.0
342,facilement,3.0,2.0,3.0,17.0,25.0
343,plateal,5.0,1.0,0.0,2.0,8.0
